record_id,image_path,prompt,dimension,annotation_file,source_key,questions
"animationbench_00001","action/Studio Ghibli.png","The character reaches out their hand and catches the butterfly gently","action","action/action.json","Studio Ghibli.png",""
"animationbench_00002","action/A_boimimetic_robot,_with_complex_structure_and_circuits._3D_style,_in_cartoon_movie_style._0.png","The character reaches out their hand and catches the butterfly gently","action","action/action.json","A_boimimetic_robot,_with_complex_structure_and_circuits._3D_style,_in_cartoon_movie_style._0.png",""
"animationbench_00003","action/eren yeager2.png","The character kicks the soccer ball powerfully towards the goal","action","action/action.json","eren yeager2.png",""
"animationbench_00004","action/Classic French Animation.png","The character kicks the soccer ball powerfully towards the goal","action","action/action.json","Classic French Animation.png",""
"animationbench_00005","action/a__fire_elemental_with_flames_for_hair_and_a_warm_glow._3D_style,_no_human_elements_and_unlike_human_shape._0.png","The character jumps over the fence with ease","action","action/action.json","a__fire_elemental_with_flames_for_hair_and_a_warm_glow._3D_style,_no_human_elements_and_unlike_human_shape._0.png",""
"animationbench_00006","action/A_cute_cartoon_chipmunk_with_soft_fur_is_running,_3D_style._2.png","The character jumps over the fence with ease","action","action/action.json","A_cute_cartoon_chipmunk_with_soft_fur_is_running,_3D_style._2.png",""
"animationbench_00007","action/80s Retro Anime2.png","The character bends down and picks up the old key from the floor","action","action/action.json","80s Retro Anime2.png",""
"animationbench_00008","action/80s Retro Anime.png","The character bends down and picks up the old key from the floor","action","action/action.json","80s Retro Anime.png",""
"animationbench_00009","action/Nemo.png","The character waves their hand enthusiastically at someone approaching","action","action/action.json","Nemo.png",""
"animationbench_00010","action/mario.png","The character waves their hand enthusiastically at someone approaching","action","action/action.json","mario.png",""
"animationbench_00011","action/Golden Age of American Animation.png","The character starts pedaling the bicycle down the suburban street","action","action/action.json","Golden Age of American Animation.png",""
"animationbench_00012","action/Create_a_cartoon_dog_character,_with_friendly_expression,_with_detailed_fur_and_short_tail,_in_casual_clothees,_in_plain_background._3D_style._1.png","The character starts pedaling the bicycle down the suburban street","action","action/action.json","Create_a_cartoon_dog_character,_with_friendly_expression,_with_detailed_fur_and_short_tail,_in_casual_clothees,_in_plain_background._3D_style._1.png",""
"animationbench_00013","action/Classic French Animation2.png","The character throws the frisbee with a smooth motion towards their friend","action","action/action.json","Classic French Animation2.png",""
"animationbench_00014","action/Chinese Ink Wash Animation2.png","The character throws the frisbee with a smooth motion towards their friend","action","action/action.json","Chinese Ink Wash Animation2.png",""
"animationbench_00015","action/A_cartoon_thin_male_adult,_whose_head_is_small_and_is_in_suqare_shape._Whole_body,_3D_effects._0.png","The character climbs up the rope hand over hand","action","action/action.json","A_cartoon_thin_male_adult,_whose_head_is_small_and_is_in_suqare_shape._Whole_body,_3D_effects._0.png",""
"animationbench_00016","action/Golden Age of American Animation2.png","The character climbs up the rope hand over hand","action","action/action.json","Golden Age of American Animation2.png",""
"animationbench_00017","action/Corporate Art2.png","The character strums the guitar and starts playing a melody","action","action/action.json","Corporate Art2.png",""
"animationbench_00018","action/Classic American Animation2.png","The character strums the guitar and starts playing a melody","action","action/action.json","Classic American Animation2.png",""
"animationbench_00019","action/熊猫1.png","The character turns the page and continues reading the book intently","action","action/action.json","熊猫1.png",""
"animationbench_00020","action/师父.png","The character turns the page and continues reading the book intently","action","action/action.json","师父.png",""
"animationbench_00021","action/孙悟空.jpg","The character brings the glass to their lips and takes a sip of water","action","action/action.json","孙悟空.jpg",""
"animationbench_00022","action/哪吒2.png","The character brings the glass to their lips and takes a sip of water","action","action/action.json","哪吒2.png",""
"animationbench_00023","action/xionger.png","The character speaks into the telephone receiver with animated expressions","action","action/action.json","xionger.png",""
"animationbench_00024","action/totoro2.png","The character speaks into the telephone receiver with animated expressions","action","action/action.json","totoro2.png",""
"animationbench_00025","action/Sully1.png","The character casts the fishing line into the lake and waits patiently","action","action/action.json","Sully1.png",""
"animationbench_00026","action/satoru gojo2.jpg","The character casts the fishing line into the lake and waits patiently","action","action/action.json","satoru gojo2.jpg",""
"animationbench_00027","action/popeye.jpg","The character dips the brush in paint and makes strokes on the canvas","action","action/action.json","popeye.jpg",""
"animationbench_00028","action/son goku.jpg","The character dips the brush in paint and makes strokes on the canvas","action","action/action.json","son goku.jpg",""
"animationbench_00029","action/simba.jpg","The character starts running along the track with increasing speed","action","action/action.json","simba.jpg",""
"animationbench_00030","action/rick sanchez2.jpg","The character starts running along the track with increasing speed","action","action/action.json","rick sanchez2.jpg",""
"animationbench_00031","action/sailor moon2.png","The character moves rhythmically to the music on the dance floor","action","action/action.json","sailor moon2.png",""
"animationbench_00032","action/pikachu.png","The character moves rhythmically to the music on the dance floor","action","action/action.json","pikachu.png",""
"animationbench_00033","action/peter griffin.jpg","The character dives into the swimming pool and swims gracefully","action","action/action.json","peter griffin.jpg",""
"animationbench_00034","action/Patrick.png","The character dives into the swimming pool and swims gracefully","action","action/action.json","Patrick.png",""
"animationbench_00035","action/papa smurf.png","The character dribbles the basketball and shoots it towards the hoop","action","action/action.json","papa smurf.png",""
"animationbench_00036","action/Nick.png","The character dribbles the basketball and shoots it towards the hoop","action","action/action.json","Nick.png",""
"animationbench_00037","action/no face.png","The character takes a bite from the red apple and chews it","action","action/action.json","no face.png",""
"animationbench_00038","action/mickey.png","The character takes a bite from the red apple and chews it","action","action/action.json","mickey.png",""
"animationbench_00039","action/Mike.png","The character urges the horse forward and rides through the meadow","action","action/action.json","Mike.png",""
"animationbench_00040","action/kiki.png","The character urges the horse forward and rides through the meadow","action","action/action.json","kiki.png",""
"animationbench_00041","action/Gru.png","The character presses buttons on the controller while playing the video game","action","action/action.json","Gru.png",""
"animationbench_00042","action/fred jones.png","The character presses buttons on the controller while playing the video game","action","action/action.json","fred jones.png",""
"animationbench_00043","action/doraemon.jpg","The character adjusts the camera and takes a photograph of the landscape","action","action/action.json","doraemon.jpg",""
"animationbench_00044","action/dipper pines2.jpg","The character adjusts the camera and takes a photograph of the landscape","action","action/action.json","dipper pines2.jpg",""
"animationbench_00045","action/daffy duck.png","The character digs deeper into the sand with the shovel looking for treasure","action","action/action.json","daffy duck.png",""
"animationbench_00046","action/bugs bunny.jpg","The character digs deeper into the sand with the shovel looking for treasure","action","action/action.json","bugs bunny.jpg",""
"animationbench_00047","action/ariel.png","The character flaps their wings and takes flight from the cliff edge","action","action/action.json","ariel.png",""
"animationbench_00048","action/aladdin.jpg","The character flaps their wings and takes flight from the cliff edge","action","action/action.json","aladdin.jpg",""
"animationbench_00049","action/31.png","The character waves the wand and performs a magical illusion with the top hat","action","action/action.json","31.png",""
"animationbench_00050","action/33.png","The character waves the wand and performs a magical illusion with the top hat","action","action/action.json","33.png",""
"animationbench_00051","action/Studio Ghibli.png","The character jumps forward on an anime-style stone road.","action","action/anticipation.json","Studio Ghibli.png",""
"animationbench_00052","action/A_boimimetic_robot,_with_complex_structure_and_circuits._3D_style,_in_cartoon_movie_style._0.png","The robot character dashes ahead on an anime city street.","action","action/anticipation.json","A_boimimetic_robot,_with_complex_structure_and_circuits._3D_style,_in_cartoon_movie_style._0.png",""
"animationbench_00053","action/eren yeager2.png","The character explodes into action at an anime forest path entrance.","action","action/anticipation.json","eren yeager2.png",""
"animationbench_00054","action/Classic French Animation.png","The character leaps across an open grassy field in an anime fantasy world.","action","action/anticipation.json","Classic French Animation.png",""
"animationbench_00055","action/a__fire_elemental_with_flames_for_hair_and_a_warm_glow._3D_style,_no_human_elements_and_unlike_human_shape._0.png","The elemental character surges forward on an anime village hilltop.","action","action/anticipation.json","a__fire_elemental_with_flames_for_hair_and_a_warm_glow._3D_style,_no_human_elements_and_unlike_human_shape._0.png",""
"animationbench_00056","action/A_cute_cartoon_chipmunk_with_soft_fur_is_running,_3D_style._2.png","The chipmunk character sprints along an anime school walkway.","action","action/anticipation.json","A_cute_cartoon_chipmunk_with_soft_fur_is_running,_3D_style._2.png",""
"animationbench_00057","action/80s Retro Anime2.png","The character launches across an anime bridge.","action","action/anticipation.json","80s Retro Anime2.png",""
"animationbench_00058","action/80s Retro Anime.png","The character springs forward in an empty anime town square.","action","action/anticipation.json","80s Retro Anime.png",""
"animationbench_00059","action/Nemo.png","The character darts along an anime countryside dirt path.","action","action/anticipation.json","Nemo.png",""
"animationbench_00060","action/mario.png","The character jumps down a long anime corridor.","action","action/anticipation.json","mario.png",""
"animationbench_00061","action/Golden Age of American Animation.png","The character charges across an anime training ground.","action","action/anticipation.json","Golden Age of American Animation.png",""
"animationbench_00062","action/Create_a_cartoon_dog_character,_with_friendly_expression,_with_detailed_fur_and_short_tail,_in_casual_clothees,_in_plain_background._3D_style._1.png","The dog character bounds forward in an anime dojo.","action","action/anticipation.json","Create_a_cartoon_dog_character,_with_friendly_expression,_with_detailed_fur_and_short_tail,_in_casual_clothees,_in_plain_background._3D_style._1.png",""
"animationbench_00063","action/Classic French Animation2.png","The character delivers a powerful strike in an anime martial arts setting.","action","action/anticipation.json","Classic French Animation2.png",""
"animationbench_00064","action/Chinese Ink Wash Animation2.png","The character spins into action on an anime arena ground.","action","action/anticipation.json","Chinese Ink Wash Animation2.png",""
"animationbench_00065","action/A_cartoon_thin_male_adult,_whose_head_is_small_and_is_in_suqare_shape._Whole_body,_3D_effects._0.png","The character climbs an anime training target.","action","action/anticipation.json","A_cartoon_thin_male_adult,_whose_head_is_small_and_is_in_suqare_shape._Whole_body,_3D_effects._0.png",""
"animationbench_00066","action/Golden Age of American Animation2.png","The character unleashes a powerful attack on a marked anime combat circle.","action","action/anticipation.json","Golden Age of American Animation2.png",""
"animationbench_00067","action/Corporate Art2.png","The character charges across a wide anime battlefield.","action","action/anticipation.json","Corporate Art2.png",""
"animationbench_00068","action/Classic American Animation2.png","The character overcomes an anime obstacle course.","action","action/anticipation.json","Classic American Animation2.png",""
"animationbench_00069","action/熊猫1.png","The panda character rolls across an anime sports field.","action","action/anticipation.json","熊猫1.png",""
"animationbench_00070","action/师父.png","The character leaps forward at an anime race track start.","action","action/anticipation.json","师父.png",""
"animationbench_00071","action/孙悟空.jpg","The character explodes into motion on an anime ocean shoreline.","action","action/anticipation.json","孙悟空.jpg",""
"animationbench_00072","action/哪吒2.png","The character dashes forward beside shallow anime waters.","action","action/anticipation.json","哪吒2.png",""
"animationbench_00073","action/xionger.png","The character runs along an anime harbor pier.","action","action/anticipation.json","xionger.png",""
"animationbench_00074","action/totoro2.png","The character bounds across an anime river crossing.","action","action/anticipation.json","totoro2.png",""
"animationbench_00075","action/Sully1.png","The character pounces down an anime snowy slope.","action","action/anticipation.json","Sully1.png",""
"animationbench_00076","action/satoru gojo2.jpg","The character teleports across an icy anime plain.","action","action/anticipation.json","satoru gojo2.jpg",""
"animationbench_00077","action/popeye.jpg","The character charges up an anime fantasy cliff.","action","action/anticipation.json","popeye.jpg",""
"animationbench_00078","action/son goku.jpg","The character blasts off from an anime mountain trail base.","action","action/anticipation.json","son goku.jpg",""
"animationbench_00079","action/simba.jpg","The character leaps across anime sand dunes.","action","action/anticipation.json","simba.jpg",""
"animationbench_00080","action/rick sanchez2.jpg","The character steps through an anime portal area.","action","action/anticipation.json","rick sanchez2.jpg",""
"animationbench_00081","action/sailor moon2.png","The character unleashes magic in an anime fantasy setting.","action","action/anticipation.json","sailor moon2.png",""
"animationbench_00082","action/pikachu.png","The character delivers a thunderbolt while holding a weapon.","action","action/anticipation.json","pikachu.png",""
"animationbench_00083","action/peter griffin.jpg","The character charges with clenched fists in an anime battle environment.","action","action/anticipation.json","peter griffin.jpg",""
"animationbench_00084","action/Patrick.png","The character charges at an opponent's anime arena.","action","action/anticipation.json","Patrick.png",""
"animationbench_00085","action/papa smurf.png","The character casts a magic spell with a visible magic circle.","action","action/anticipation.json","papa smurf.png",""
"animationbench_00086","action/Nick.png","The character creates cracks in the ground on an anime battlefield.","action","action/anticipation.json","Nick.png",""
"animationbench_00087","action/no face.png","The character lunges in a defensive anime scene.","action","action/anticipation.json","no face.png",""
"animationbench_00088","action/mickey.png","The character strikes at an anime dojo training dummy.","action","action/anticipation.json","mickey.png",""
"animationbench_00089","action/Mike.png","The character jumps across an anime city rooftop.","action","action/anticipation.json","Mike.png",""
"animationbench_00090","action/kiki.png","The character soars into a wide open anime battlefield.","action","action/anticipation.json","kiki.png",""
"animationbench_00091","action/Gru.png","The character launches a scheme along a long anime road.","action","action/anticipation.json","Gru.png",""
"animationbench_00092","action/fred jones.png","The character investigates on a flat anime platform.","action","action/anticipation.json","fred jones.png",""
"animationbench_00093","action/doraemon.jpg","The character deploys an invention on a circular anime platform.","action","action/anticipation.json","doraemon.jpg",""
"animationbench_00094","action/dipper pines2.jpg","The character embarks on an anime quest path.","action","action/anticipation.json","dipper pines2.jpg",""
"animationbench_00095","action/daffy duck.png","The character charges across an anime fantasy plain.","action","action/anticipation.json","daffy duck.png",""
"animationbench_00096","action/bugs bunny.jpg","The character outsmarts foes on a straight anime bridge.","action","action/anticipation.json","bugs bunny.jpg",""
"animationbench_00097","action/ariel.png","The character breaches an anime ocean surface.","action","action/anticipation.json","ariel.png",""
"animationbench_00098","action/aladdin.jpg","The character takes flight on an anime runway path.","action","action/anticipation.json","aladdin.jpg",""
"animationbench_00099","action/31.png","The character activates in an anime virtual training space.","action","action/anticipation.json","31.png",""
"animationbench_00100","action/33.png","The character charges forward on an anime world path extending ahead.","action","action/anticipation.json","33.png",""
"animationbench_00101","camera_motion/basketball2.png","camera zooms in.","camera_motion","camera_motion/prompt.json","basketball2:0",""
"animationbench_00102","camera_motion/basketball2.png","camera zooms out.","camera_motion","camera_motion/prompt.json","basketball2:1",""
"animationbench_00103","camera_motion/basketball2.png","camera pan left.","camera_motion","camera_motion/prompt.json","basketball2:2",""
"animationbench_00104","camera_motion/basketball2.png","camera pan right.","camera_motion","camera_motion/prompt.json","basketball2:3",""
"animationbench_00105","camera_motion/basketball2.png","camera tilts up.","camera_motion","camera_motion/prompt.json","basketball2:4",""
